model_name,batch_size,sequence_length,mode,total_params_millions,total_mean_gb,total_std_gb,forward_mean_gb,forward_std_gb,backward_mean_gb,backward_std_gb,peak_forward_mean_gb,peak_forward_std_gb,peak_backward_mean_gb,peak_backward_std_gb,memory_per_sample_gb,memory_per_token_gb,status
tiny256,1,128,training,14.6,0.124,0.000,0.119,0.000,0.031,0.000,0.119,0.000,0.150,0.000,0.124,0.001,success
tiny256,8,128,training,14.6,0.399,0.000,0.359,0.000,0.246,0.000,0.361,0.000,0.606,0.000,0.050,0.000,success
tiny256,32,128,training,14.6,1.196,0.000,1.036,0.000,0.984,0.000,1.045,0.000,2.025,0.000,0.037,0.000,success
tiny256,1,256,training,14.7,0.335,0.000,0.325,0.000,0.062,0.000,0.325,0.000,0.388,0.000,0.335,0.001,success
tiny256,8,256,training,14.7,0.825,0.000,0.745,0.000,0.493,0.000,0.750,0.000,1.241,0.000,0.103,0.000,success
tiny256,32,256,training,14.7,2.360,0.000,2.041,0.000,1.968,0.000,2.058,0.000,4.017,0.000,0.074,0.000,success
tiny256,1,512,training,14.7,0.577,0.000,0.557,0.000,0.123,0.000,0.559,0.000,0.681,0.000,0.577,0.001,success
tiny256,8,512,training,14.7,1.500,0.000,1.340,0.000,0.984,0.000,1.349,0.000,2.329,0.000,0.188,0.000,success
tiny256,32,512,training,14.7,4.514,0.000,3.875,0.000,3.935,0.000,3.909,0.000,7.828,0.000,0.141,0.000,success
tiny256,1,1024,training,14.9,0.894,0.000,0.853,0.000,0.247,0.000,0.856,0.000,1.102,0.000,0.894,0.001,success
tiny256,8,1024,training,14.9,2.683,0.000,2.364,0.000,1.968,0.000,2.382,0.000,4.341,0.000,0.335,0.000,success
tiny256,32,1024,training,14.9,8.655,0.000,7.378,0.000,7.871,0.000,7.446,0.000,15.283,0.000,0.270,0.000,success
tiny256,1,128,evaluation,14.6,0.869,0.000,0.869,0.000,-1.000,0.000,0.870,0.000,-1.000,0.000,0.869,0.007,success
tiny256,8,128,evaluation,14.6,1.109,0.000,1.109,0.000,-1.000,0.000,1.112,0.000,-1.000,0.000,0.139,0.001,success
tiny256,32,128,evaluation,14.6,1.787,0.000,1.787,0.000,-1.000,0.000,1.796,0.000,-1.000,0.000,0.056,0.000,success
tiny256,1,256,evaluation,14.7,1.075,0.000,1.075,0.000,-1.000,0.000,1.076,0.000,-1.000,0.000,1.075,0.004,success
tiny256,8,256,evaluation,14.7,1.496,0.000,1.496,0.000,-1.000,0.000,1.501,0.000,-1.000,0.000,0.187,0.001,success
tiny256,32,256,evaluation,14.7,2.791,0.000,2.791,0.000,-1.000,0.000,2.809,0.000,-1.000,0.000,0.087,0.000,success
tiny256,1,512,evaluation,14.7,1.308,0.000,1.308,0.000,-1.000,0.000,1.310,0.000,-1.000,0.000,1.308,0.003,success
tiny256,8,512,evaluation,14.7,2.091,0.000,2.091,0.000,-1.000,0.000,2.100,0.000,-1.000,0.000,0.261,0.001,success
tiny256,32,512,evaluation,14.7,4.626,0.000,4.626,0.000,-1.000,0.000,4.660,0.000,-1.000,0.000,0.145,0.000,success
tiny256,1,1024,evaluation,14.9,1.603,0.000,1.603,0.000,-1.000,0.000,1.607,0.000,-1.000,0.000,1.603,0.002,success
tiny256,8,1024,evaluation,14.9,3.115,0.000,3.115,0.000,-1.000,0.000,3.132,0.000,-1.000,0.000,0.389,0.000,success
tiny256,32,1024,evaluation,14.9,8.129,0.000,8.129,0.000,-1.000,0.000,8.197,0.000,-1.000,0.000,0.254,0.000,success
small512,1,128,training,39.5,1.739,0.000,1.720,0.000,0.045,0.000,1.721,0.000,1.766,0.000,1.739,0.014,success
small512,8,128,training,39.5,2.215,0.000,2.059,0.000,0.361,0.000,2.064,0.000,2.423,0.000,0.277,0.002,success
small512,32,128,training,39.5,3.457,0.000,2.836,0.000,1.446,0.000,2.853,0.000,4.290,0.000,0.108,0.001,success
small512,1,256,training,39.5,2.263,0.000,2.223,0.000,0.092,0.000,2.225,0.000,2.317,0.000,2.263,0.009,success
small512,8,256,training,39.5,3.056,0.000,2.744,0.000,0.725,0.000,2.753,0.000,3.474,0.000,0.382,0.001,success
small512,32,256,training,39.5,5.383,0.000,4.140,0.000,2.891,0.000,4.174,0.000,7.048,0.000,0.168,0.001,success
small512,1,512,training,39.7,2.836,0.000,2.757,0.000,0.182,0.000,2.760,0.000,2.941,0.000,2.836,0.006,success
small512,8,512,training,39.7,4.265,0.000,3.642,0.000,1.447,0.000,3.660,0.000,5.099,0.000,0.533,0.001,success
small512,32,512,training,39.7,8.765,0.000,6.279,0.000,5.782,0.000,6.347,0.000,12.096,0.000,0.274,0.001,success
small512,1,1024,training,39.9,3.522,0.000,3.367,0.000,0.361,0.000,3.373,0.000,3.733,0.000,3.522,0.003,success
small512,8,1024,training,39.9,6.231,0.000,4.988,0.000,2.891,0.000,5.024,0.000,7.898,0.000,0.779,0.001,success
small512,32,1024,training,39.9,15.083,0.000,10.112,0.000,11.564,0.000,10.248,0.000,21.746,0.000,0.471,0.000,success
small512,1,128,evaluation,39.5,3.702,0.000,3.702,0.000,-1.000,0.000,3.703,0.000,-1.000,0.000,3.702,0.029,success
small512,8,128,evaluation,39.5,4.041,0.000,4.041,0.000,-1.000,0.000,4.045,0.000,-1.000,0.000,0.505,0.004,success
small512,32,128,evaluation,39.5,4.818,0.000,4.818,0.000,-1.000,0.000,4.835,0.000,-1.000,0.000,0.151,0.001,success
small512,1,256,evaluation,39.5,4.207,0.000,4.207,0.000,-1.000,0.000,4.208,0.000,-1.000,0.000,4.207,0.016,success
small512,8,256,evaluation,39.5,4.728,0.000,4.728,0.000,-1.000,0.000,4.736,0.000,-1.000,0.000,0.591,0.002,success
small512,32,256,evaluation,39.5,6.123,0.000,6.123,0.000,-1.000,0.000,6.157,0.000,-1.000,0.000,0.191,0.001,success
small512,1,512,evaluation,39.7,4.741,0.000,4.741,0.000,-1.000,0.000,4.744,0.000,-1.000,0.000,4.741,0.009,success
small512,8,512,evaluation,39.7,5.625,0.000,5.625,0.000,-1.000,0.000,5.643,0.000,-1.000,0.000,0.703,0.001,success
small512,32,512,evaluation,39.7,8.260,0.000,8.260,0.000,-1.000,0.000,8.329,0.000,-1.000,0.000,0.258,0.001,success
small512,1,1024,evaluation,39.9,5.348,0.000,5.348,0.000,-1.000,0.000,5.354,0.000,-1.000,0.000,5.348,0.005,success
small512,8,1024,evaluation,39.9,6.969,0.000,6.969,0.000,-1.000,0.000,7.005,0.000,-1.000,0.000,0.871,0.001,success
small512,32,1024,evaluation,39.9,12.093,0.000,12.093,0.000,-1.000,0.000,12.230,0.000,-1.000,0.000,0.378,0.000,success
small1024,1,128,training,106.2,5.990,0.000,5.950,0.000,0.065,0.000,5.952,0.000,6.017,0.000,5.990,0.047,success
small1024,8,128,training,106.2,6.866,0.000,6.556,0.000,0.517,0.000,6.565,0.000,7.077,0.000,0.858,0.007,success
small1024,32,128,training,106.2,8.841,0.000,7.599,0.000,2.066,0.000,7.633,0.000,9.683,0.000,0.276,0.002,success
small1024,1,256,training,106.4,7.332,0.000,7.254,0.000,0.131,0.000,7.257,0.000,7.387,0.000,7.332,0.029,success
small1024,8,256,training,106.4,8.662,0.000,8.041,0.000,1.034,0.000,8.059,0.000,9.085,0.000,1.083,0.004,success
small1024,32,256,training,106.4,12.187,0.000,9.703,0.000,4.133,0.000,9.771,0.000,13.870,0.000,0.381,0.001,success
small1024,1,512,training,106.6,8.743,0.000,8.588,0.000,0.258,0.000,8.594,0.000,8.851,0.000,8.743,0.017,success
small1024,8,512,training,106.6,10.982,0.000,9.740,0.000,2.066,0.000,9.776,0.000,11.825,0.000,1.373,0.003,success
small1024,32,512,training,106.6,17.612,0.000,12.643,0.000,8.265,0.000,12.780,0.000,20.978,0.000,0.550,0.001,success
small1024,1,1024,training,107.1,10.308,0.000,9.998,0.000,0.517,0.000,10.010,0.000,10.523,0.000,10.308,0.010,success
small1024,8,1024,training,107.1,14.370,0.000,11.886,0.000,4.133,0.000,11.957,0.000,16.056,0.000,1.796,0.002,success
small1024,32,1024,training,107.1,27.214,0.000,17.276,0.000,16.531,0.000,17.549,0.000,33.945,0.000,0.850,0.001,success
small1024,1,128,evaluation,106.2,11.133,0.000,11.133,0.000,-1.000,0.000,11.135,0.000,-1.000,0.000,11.133,0.087,success
small1024,8,128,evaluation,106.2,11.739,0.000,11.739,0.000,-1.000,0.000,11.748,0.000,-1.000,0.000,1.467,0.011,success
small1024,32,128,evaluation,106.2,12.782,0.000,12.782,0.000,-1.000,0.000,12.816,0.000,-1.000,0.000,0.399,0.003,success
small1024,1,256,evaluation,106.4,12.437,0.000,12.437,0.000,-1.000,0.000,12.440,0.000,-1.000,0.000,12.437,0.049,success
small1024,8,256,evaluation,106.4,13.224,0.000,13.224,0.000,-1.000,0.000,13.242,0.000,-1.000,0.000,1.653,0.006,success
small1024,32,256,evaluation,106.4,14.886,0.000,14.886,0.000,-1.000,0.000,14.954,0.000,-1.000,0.000,0.465,0.002,success
small1024,1,512,evaluation,106.6,13.771,0.000,13.771,0.000,-1.000,0.000,13.778,0.000,-1.000,0.000,13.771,0.027,success
small1024,8,512,evaluation,106.6,14.923,0.000,14.923,0.000,-1.000,0.000,14.959,0.000,-1.000,0.000,1.865,0.004,success
small1024,32,512,evaluation,106.6,17.827,0.000,17.827,0.000,-1.000,0.000,17.963,0.000,-1.000,0.000,0.557,0.001,success
small1024,1,1024,evaluation,107.1,15.181,0.000,15.181,0.000,-1.000,0.000,15.194,0.000,-1.000,0.000,15.181,0.015,success
small1024,8,1024,evaluation,107.1,17.069,0.000,17.069,0.000,-1.000,0.000,17.140,0.000,-1.000,0.000,2.134,0.002,success
small1024,32,1024,evaluation,107.1,22.460,0.000,22.460,0.000,-1.000,0.000,22.732,0.000,-1.000,0.000,0.702,0.001,success
medium2048,1,128,training,539.7,18.208,0.000,18.052,0.000,0.182,0.000,18.055,0.000,18.236,0.000,18.208,0.142,success
medium2048,8,128,training,539.7,21.618,0.000,20.393,0.000,1.431,0.000,20.411,0.000,21.833,0.000,2.702,0.021,success
medium2048,32,128,training,539.7,28.072,0.000,23.171,0.000,5.725,0.000,23.240,0.000,28.931,0.000,0.877,0.007,success
medium2048,1,256,training,540.0,24.869,0.000,24.563,0.000,0.359,0.000,24.569,0.000,24.926,0.000,24.869,0.097,success
medium2048,8,256,training,540.0,29.537,0.000,27.087,0.000,2.863,0.000,27.122,0.000,29.969,0.000,3.692,0.014,success
medium2048,32,256,training,540.0,40.287,0.000,30.485,0.000,11.450,0.000,30.621,0.000,42.004,0.000,1.259,0.005,success
medium2048,1,512,training,540.5,31.724,0.000,31.111,0.000,0.716,0.000,31.124,0.000,31.835,0.000,31.724,0.062,success
medium2048,8,512,training,540.5,38.905,0.000,34.004,0.000,5.725,0.000,34.075,0.000,39.767,0.000,4.863,0.009,success
medium2048,32,512,training,540.5,58.251,0.000,38.648,0.000,22.899,0.000,38.921,0.000,61.686,0.000,1.820,0.004,success
medium2048,1,1024,training,541.6,38.983,0.000,37.758,0.000,1.431,0.000,37.783,0.000,39.206,0.000,38.983,0.038,success
medium2048,8,1024,training,541.6,51.203,0.000,41.401,0.000,11.450,0.000,41.544,0.000,52.927,0.000,6.400,0.006,success
medium2048,32,1024,training,,,,,,,,,,,,,,out_of_memory
medium2048,1,128,evaluation,539.7,44.140,0.000,44.140,0.000,-1.000,0.000,44.143,0.000,-1.000,0.000,44.140,0.345,success
medium2048,8,128,evaluation,539.7,46.481,0.000,46.481,0.000,-1.000,0.000,46.499,0.000,-1.000,0.000,5.810,0.045,success
medium2048,32,128,evaluation,539.7,49.260,0.000,49.260,0.000,-1.000,0.000,49.328,0.000,-1.000,0.000,1.539,0.012,success
medium2048,1,256,evaluation,540.0,50.651,0.000,50.651,0.000,-1.000,0.000,50.657,0.000,-1.000,0.000,50.651,0.198,success
medium2048,8,256,evaluation,540.0,53.175,0.000,53.175,0.000,-1.000,0.000,53.210,0.000,-1.000,0.000,6.647,0.026,success
medium2048,32,256,evaluation,540.0,56.573,0.000,56.573,0.000,-1.000,0.000,56.710,0.000,-1.000,0.000,1.768,0.007,success
medium2048,1,512,evaluation,540.5,57.199,0.000,57.199,0.000,-1.000,0.000,57.212,0.000,-1.000,0.000,57.199,0.112,success
medium2048,8,512,evaluation,540.5,60.092,0.000,60.092,0.000,-1.000,0.000,60.163,0.000,-1.000,0.000,7.512,0.015,success
medium2048,32,512,evaluation,540.5,64.736,0.000,64.736,0.000,-1.000,0.000,65.009,0.000,-1.000,0.000,2.023,0.004,success
medium2048,1,1024,evaluation,541.6,63.846,0.000,63.846,0.000,-1.000,0.000,63.871,0.000,-1.000,0.000,63.846,0.062,success
medium2048,8,1024,evaluation,541.6,67.490,0.000,67.490,0.000,-1.000,0.000,67.632,0.000,-1.000,0.000,8.436,0.008,success
medium2048,32,1024,evaluation,541.6,74.636,0.000,74.636,0.000,-1.000,0.000,75.181,0.000,-1.000,0.000,2.332,0.002,success
