model_name,batch_size,sequence_length,mode,total_params_millions,total_mean_gb,total_std_gb,forward_mean_gb,forward_std_gb,backward_mean_gb,backward_std_gb,peak_forward_mean_gb,peak_forward_std_gb,peak_backward_mean_gb,peak_backward_std_gb,memory_per_sample_gb,memory_per_token_gb,status
tiny256,1,256,training,14.7,0.094,0.000,0.094,0.000,0.094,0.000,0.094,0.000,0.209,0.000,0.094,0.000,success
tiny256,32,256,training,14.7,0.154,0.000,0.154,0.000,0.154,0.000,0.154,0.000,3.778,0.000,0.005,0.000,success
tiny256,1,1024,training,14.9,0.222,0.000,0.222,0.000,0.222,0.000,0.222,0.000,0.678,0.000,0.222,0.000,success
tiny256,32,1024,training,14.9,0.292,0.000,0.292,0.000,0.292,0.000,0.292,0.000,14.790,0.000,0.009,0.000,success
tiny256,1,256,evaluation,,,,,,,,,,,,,,error
tiny256,32,256,evaluation,,,,,,,,,,,,,,error
small1024,1,256,training,106.4,0.838,0.000,0.838,0.000,0.838,0.000,0.838,0.000,1.023,0.000,0.838,0.003,success
small1024,32,256,training,106.4,1.264,0.000,1.264,0.000,1.264,0.000,1.264,0.000,7.080,0.000,0.040,0.000,success
small1024,1,1024,training,107.1,1.710,0.000,1.710,0.000,1.710,0.000,1.710,0.000,2.441,0.000,1.710,0.002,success
small1024,32,1024,training,107.1,2.155,0.000,2.155,0.000,2.155,0.000,2.155,0.000,25.418,0.000,0.067,0.000,success
small1024,1,256,evaluation,,,,,,,,,,,,,,error
small1024,32,256,evaluation,,,,,,,,,,,,,,error
