model_name,batch_size,sequence_length,mode,total_params_millions,total_mean_gb,total_std_gb,forward_mean_gb,forward_std_gb,backward_mean_gb,backward_std_gb,peak_forward_mean_gb,peak_forward_std_gb,peak_backward_mean_gb,peak_backward_std_gb,memory_per_sample_gb,memory_per_token_gb,status
tiny512,32,256,training,32.7,9.048,0.000,8.819,0.723,1.877,0.723,10.565,0.521,12.771,0.723,0.283,0.001,success
tiny512,64,256,training,32.7,13.114,0.000,12.657,1.446,3.754,1.446,16.149,1.043,20.561,1.446,0.205,0.001,success
tiny512,128,256,training,32.7,21.116,0.000,20.202,2.892,7.508,2.892,27.185,2.085,36.009,2.892,0.165,0.001,success
tiny512,1,512,training,32.8,5.757,0.001,5.742,0.045,0.117,0.046,5.853,0.033,5.991,0.045,5.757,0.011,success
tiny512,4,512,training,32.8,6.631,0.000,6.573,0.181,0.470,0.181,7.012,0.131,7.564,0.181,1.658,0.003,success
tiny512,8,512,training,32.8,7.746,0.000,7.631,0.362,0.939,0.362,8.505,0.261,9.608,0.362,0.968,0.002,success
tiny512,16,512,training,32.8,9.847,0.000,9.618,0.723,1.877,0.723,11.365,0.521,13.571,0.723,0.615,0.001,success
tiny512,32,512,training,32.8,13.915,0.000,13.458,1.446,3.754,1.446,16.950,1.043,21.362,1.446,0.435,0.001,success
tiny512,64,512,training,32.8,21.918,0.000,21.004,2.892,7.508,2.892,27.988,2.085,36.811,2.892,0.342,0.001,success
tiny512,128,512,training,32.8,37.792,0.000,35.962,5.784,15.016,5.784,49.929,4.170,67.576,5.784,0.295,0.001,success
tiny512,1,1024,training,33.1,6.946,0.000,6.917,0.090,0.235,0.090,7.139,0.065,7.415,0.090,6.946,0.007,success
tiny512,4,1024,training,33.1,8.564,0.000,8.449,0.362,0.939,0.362,9.324,0.261,10.427,0.362,2.141,0.002,success
tiny512,8,1024,training,33.1,10.672,0.000,10.443,0.723,1.877,0.723,12.191,0.521,14.397,0.723,1.334,0.001,success
tiny512,16,1024,training,33.1,14.750,0.000,14.292,1.446,3.754,1.446,17.786,1.043,22.198,1.446,0.922,0.001,success
tiny512,32,1024,training,33.1,22.761,0.000,21.847,2.892,7.508,2.892,28.833,2.085,37.656,2.892,0.711,0.001,success
tiny512,64,1024,training,33.1,38.643,0.000,36.814,5.784,15.016,5.784,50.782,4.170,68.428,5.784,0.604,0.001,success
tiny512,128,1024,training,,,,,,,,,,,,,,out_of_memory
tiny512,1,128,evaluation,32.7,7.461,0.000,7.461,0.000,0.000,0.000,7.464,0.008,0.000,0.000,7.461,0.058,success
tiny512,4,128,evaluation,32.7,7.669,0.000,7.669,0.000,0.000,0.000,7.682,0.033,0.000,0.000,1.917,0.015,success
tiny512,8,128,evaluation,32.7,7.903,0.000,7.903,0.000,0.000,0.000,7.928,0.065,0.000,0.000,0.988,0.008,success
tiny512,16,128,evaluation,32.7,8.241,0.000,8.241,0.000,0.000,0.000,8.291,0.131,0.000,0.000,0.515,0.004,success
tiny512,32,128,evaluation,32.7,8.782,0.000,8.782,0.000,0.000,0.000,8.882,0.261,0.000,0.000,0.274,0.002,success
tiny512,64,128,evaluation,32.7,9.738,0.000,9.738,0.000,0.000,0.000,9.937,0.521,0.000,0.000,0.152,0.001,success
tiny512,128,128,evaluation,32.7,11.518,0.000,11.518,0.000,0.000,0.000,11.915,1.043,0.000,0.000,0.090,0.001,success
tiny512,1,256,evaluation,32.7,8.406,0.000,8.406,0.000,0.000,0.000,8.412,0.017,0.000,0.000,8.406,0.033,success
tiny512,4,256,evaluation,32.7,8.691,0.000,8.691,0.000,0.000,0.000,8.716,0.065,0.000,0.000,2.173,0.008,success
tiny512,8,256,evaluation,32.7,9.029,0.000,9.029,0.000,0.000,0.000,9.079,0.131,0.000,0.000,1.129,0.004,success
tiny512,16,256,evaluation,32.7,9.573,0.000,9.573,0.000,0.000,0.000,9.672,0.261,0.000,0.000,0.598,0.002,success
tiny512,32,256,evaluation,32.7,10.528,0.000,10.528,0.000,0.000,0.000,10.727,0.521,0.000,0.000,0.329,0.001,success
tiny512,64,256,evaluation,32.7,12.309,0.000,12.309,0.000,0.000,0.000,12.707,1.043,0.000,0.000,0.192,0.001,success
tiny512,128,256,evaluation,32.7,15.738,0.000,15.738,0.000,0.000,0.000,16.532,2.085,0.000,0.000,0.123,0.000,success
tiny512,1,512,evaluation,32.8,9.380,0.000,9.380,0.000,0.000,0.000,9.394,0.033,0.000,0.000,9.380,0.018,success
tiny512,4,512,evaluation,32.8,9.824,0.000,9.824,0.000,0.000,0.000,9.875,0.131,0.000,0.000,2.456,0.005,success
tiny512,8,512,evaluation,32.8,10.368,0.000,10.368,0.000,0.000,0.000,10.469,0.261,0.000,0.000,1.296,0.003,success
tiny512,16,512,evaluation,32.8,11.326,0.000,11.326,0.000,0.000,0.000,11.526,0.521,0.000,0.000,0.708,0.001,success
tiny512,32,512,evaluation,32.8,13.108,0.000,13.108,0.000,0.000,0.000,13.506,1.043,0.000,0.000,0.410,0.001,success
tiny512,64,512,evaluation,32.8,16.540,0.000,16.540,0.000,0.000,0.000,17.334,2.085,0.000,0.000,0.258,0.001,success
tiny512,128,512,evaluation,32.8,23.267,0.000,23.267,0.000,0.000,0.000,24.855,4.170,0.000,0.000,0.182,0.000,success
tiny512,1,1024,evaluation,33.1,10.427,0.000,10.427,0.000,0.000,0.000,10.454,0.065,0.000,0.000,10.427,0.010,success
tiny512,4,1024,evaluation,33.1,11.188,0.000,11.188,0.000,0.000,0.000,11.289,0.261,0.000,0.000,2.797,0.003,success
tiny512,8,1024,evaluation,33.1,12.155,0.000,12.155,0.000,0.000,0.000,12.356,0.521,0.000,0.000,1.519,0.001,success
tiny512,16,1024,evaluation,33.1,13.946,0.000,13.946,0.000,0.000,0.000,14.346,1.043,0.000,0.000,0.872,0.001,success
tiny512,32,1024,evaluation,33.1,17.385,0.000,17.385,0.000,0.000,0.000,18.180,2.085,0.000,0.000,0.543,0.001,success
tiny512,64,1024,evaluation,33.1,24.119,0.000,24.119,0.000,0.000,0.000,25.709,4.170,0.000,0.000,0.377,0.000,success
tiny512,128,1024,evaluation,33.1,37.450,0.000,37.450,0.000,0.000,0.000,40.627,8.340,0.000,0.000,0.293,0.000,success
small512,1,128,training,39.5,11.304,0.000,11.299,0.014,0.030,0.014,11.328,0.008,11.370,0.014,11.304,0.088,success
small512,4,128,training,39.5,11.675,0.001,11.657,0.057,0.121,0.057,11.771,0.032,11.943,0.058,2.919,0.023,success
small512,8,128,training,39.5,12.116,0.000,12.080,0.114,0.242,0.114,12.306,0.065,12.650,0.114,1.515,0.012,success
small512,16,128,training,39.5,12.846,0.001,12.773,0.229,0.486,0.229,13.226,0.131,13.915,0.229,0.803,0.006,success
small512,32,128,training,39.5,14.137,0.000,13.993,0.457,0.969,0.457,14.896,0.261,16.271,0.457,0.442,0.003,success
small512,64,128,training,39.5,16.566,0.000,16.277,0.914,1.937,0.914,18.084,0.521,20.834,0.914,0.259,0.002,success
small512,128,128,training,39.5,21.265,0.000,20.687,1.829,3.875,1.829,24.300,1.043,29.800,1.829,0.166,0.001,success
small512,1,256,training,39.5,12.490,0.000,12.481,0.029,0.062,0.029,12.539,0.017,12.627,0.029,12.490,0.049,success
small512,4,256,training,39.5,13.072,0.000,13.036,0.114,0.242,0.114,13.262,0.065,13.606,0.114,3.268,0.013,success
small512,8,256,training,39.5,13.801,0.000,13.728,0.229,0.486,0.229,14.181,0.131,14.870,0.229,1.725,0.007,success
small512,16,256,training,39.5,15.094,0.000,14.949,0.457,0.969,0.457,15.853,0.261,17.228,0.457,0.943,0.004,success
small512,32,256,training,39.5,17.524,0.000,17.235,0.914,1.937,0.914,19.042,0.521,21.792,0.914,0.548,0.002,success
small512,64,256,training,39.5,22.224,0.000,21.646,1.829,3.875,1.829,25.259,1.043,30.759,1.829,0.347,0.001,success
small512,128,256,training,39.5,31.463,0.000,30.307,3.657,7.750,3.657,37.532,2.085,48.532,3.657,0.246,0.001,success
small512,1,512,training,39.7,13.753,0.001,13.734,0.057,0.121,0.057,13.848,0.032,14.021,0.058,13.753,0.027,success
small512,4,512,training,39.7,14.768,0.000,14.695,0.229,0.486,0.229,15.149,0.131,15.838,0.229,3.692,0.007,success
small512,8,512,training,39.7,16.063,0.000,15.919,0.457,0.969,0.457,16.823,0.261,18.198,0.457,2.008,0.004,success
small512,16,512,training,39.7,18.498,0.001,18.209,0.914,1.937,0.915,20.016,0.521,22.766,0.914,1.156,0.002,success
small512,32,512,training,39.7,23.201,0.000,22.623,1.829,3.875,1.829,26.236,1.043,31.736,1.829,0.725,0.001,success
small512,64,512,training,39.7,32.444,0.000,31.288,3.657,7.750,3.657,38.513,2.085,49.514,3.657,0.507,0.001,success
small512,128,512,training,,,,,,,,,,,,,,out_of_memory
small512,1,1024,training,39.9,15.196,0.000,15.159,0.114,0.242,0.114,15.387,0.065,15.731,0.114,15.196,0.015,success
small512,4,1024,training,39.9,17.077,0.000,16.932,0.457,0.969,0.457,17.837,0.261,19.212,0.457,4.269,0.004,success
small512,8,1024,training,39.9,19.525,0.000,19.236,0.914,1.937,0.914,21.044,0.521,23.794,0.914,2.441,0.002,success
small512,16,1024,training,39.9,24.243,0.000,23.665,1.829,3.875,1.829,27.280,1.043,32.780,1.829,1.515,0.001,success
small512,32,1024,training,39.9,33.501,0.000,32.345,3.657,7.750,3.657,39.572,2.085,50.572,3.657,1.047,0.001,success
small512,64,1024,training,,,,,,,,,,,,,,out_of_memory
small512,1,128,evaluation,39.5,15.705,0.000,15.705,0.000,0.000,0.000,15.709,0.008,0.000,0.000,15.705,0.123,success
small512,4,128,evaluation,39.5,15.941,0.000,15.941,0.000,0.000,0.000,15.953,0.033,0.000,0.000,3.985,0.031,success
small512,8,128,evaluation,39.5,16.203,0.000,16.203,0.000,0.000,0.000,16.228,0.065,0.000,0.000,2.025,0.016,success
small512,16,128,evaluation,39.5,16.569,0.000,16.569,0.000,0.000,0.000,16.619,0.131,0.000,0.000,1.036,0.008,success
small512,32,128,evaluation,39.5,17.140,0.000,17.140,0.000,0.000,0.000,17.239,0.261,0.000,0.000,0.536,0.004,success
small512,64,128,evaluation,39.5,18.123,0.000,18.123,0.000,0.000,0.000,18.322,0.521,0.000,0.000,0.283,0.002,success
small512,128,128,evaluation,39.5,19.930,0.000,19.930,0.000,0.000,0.000,20.327,1.043,0.000,0.000,0.156,0.001,success
small512,1,256,evaluation,39.5,16.845,0.000,16.845,0.000,0.000,0.000,16.851,0.017,0.000,0.000,16.845,0.066,success
small512,4,256,evaluation,39.5,17.157,0.000,17.157,0.000,0.000,0.000,17.183,0.065,0.000,0.000,4.289,0.017,success
small512,8,256,evaluation,39.5,17.525,0.000,17.525,0.000,0.000,0.000,17.576,0.131,0.000,0.000,2.191,0.009,success
small512,16,256,evaluation,39.5,18.096,0.000,18.096,0.000,0.000,0.000,18.196,0.261,0.000,0.000,1.131,0.004,success
small512,32,256,evaluation,39.5,19.081,0.000,19.081,0.000,0.000,0.000,19.280,0.521,0.000,0.000,0.596,0.002,success
small512,64,256,evaluation,39.5,20.890,0.000,20.890,0.000,0.000,0.000,21.287,1.043,0.000,0.000,0.326,0.001,success
small512,128,256,evaluation,39.5,24.346,0.000,24.346,0.000,0.000,0.000,25.140,2.085,0.000,0.000,0.190,0.001,success
small512,1,512,evaluation,39.7,18.018,0.000,18.018,0.000,0.000,0.000,18.031,0.033,0.000,0.000,18.018,0.035,success
small512,4,512,evaluation,39.7,18.491,0.000,18.491,0.000,0.000,0.000,18.542,0.131,0.000,0.000,4.623,0.009,success
small512,8,512,evaluation,39.7,19.066,0.000,19.066,0.000,0.000,0.000,19.166,0.261,0.000,0.000,2.383,0.005,success
small512,16,512,evaluation,39.7,20.054,0.000,20.054,0.000,0.000,0.000,20.254,0.521,0.000,0.000,1.253,0.002,success
small512,32,512,evaluation,39.7,21.867,0.000,21.867,0.000,0.000,0.000,22.264,1.043,0.000,0.000,0.683,0.001,success
small512,64,512,evaluation,39.7,25.328,0.000,25.328,0.000,0.000,0.000,26.122,2.085,0.000,0.000,0.396,0.001,success
small512,128,512,evaluation,39.7,32.084,0.000,32.084,0.000,0.000,0.000,33.673,4.170,0.000,0.000,0.251,0.000,success
small512,1,1024,evaluation,39.9,19.281,0.000,19.281,0.000,0.000,0.000,19.308,0.065,0.000,0.000,19.281,0.019,success
small512,4,1024,evaluation,39.9,20.078,0.000,20.078,0.000,0.000,0.000,20.179,0.261,0.000,0.000,5.019,0.005,success
small512,8,1024,evaluation,39.9,21.081,0.000,21.081,0.000,0.000,0.000,21.281,0.521,0.000,0.000,2.635,0.003,success
small512,16,1024,evaluation,39.9,22.908,0.000,22.908,0.000,0.000,0.000,23.307,1.043,0.000,0.000,1.432,0.001,success
small512,32,1024,evaluation,39.9,26.384,0.000,26.384,0.000,0.000,0.000,27.179,2.085,0.000,0.000,0.824,0.001,success
small512,64,1024,evaluation,39.9,33.156,0.000,33.156,0.000,0.000,0.000,34.745,4.170,0.000,0.000,0.518,0.001,success
small512,128,1024,evaluation,39.9,46.523,0.000,46.523,0.000,0.000,0.000,49.699,8.340,0.000,0.000,0.363,0.000,success
small1024,1,128,training,106.2,20.663,0.000,20.657,0.021,0.032,0.021,20.688,0.008,20.749,0.021,20.663,0.161,success
small1024,4,128,training,106.2,21.359,0.000,21.333,0.082,0.129,0.082,21.456,0.033,21.697,0.082,5.340,0.042,success
small1024,8,128,training,106.2,22.145,0.000,22.093,0.163,0.258,0.163,22.340,0.065,22.821,0.163,2.768,0.022,success
small1024,16,128,training,106.2,23.295,0.000,23.192,0.327,0.517,0.327,23.684,0.131,24.648,0.327,1.456,0.011,success
small1024,32,128,training,106.2,25.163,0.000,24.957,0.653,1.031,0.653,25.939,0.261,27.865,0.653,0.786,0.006,success
small1024,64,128,training,106.2,28.479,0.000,28.066,1.307,2.062,1.307,30.030,0.521,33.881,1.307,0.445,0.003,success
small1024,128,128,training,106.2,34.685,0.000,33.859,2.614,4.123,2.614,37.787,1.043,45.489,2.614,0.271,0.002,success
small1024,1,256,training,106.4,23.735,0.002,23.722,0.042,0.066,0.041,23.785,0.017,23.909,0.043,23.735,0.093,success
small1024,4,256,training,106.4,24.699,0.000,24.647,0.163,0.258,0.163,24.894,0.065,25.375,0.163,6.175,0.024,success
small1024,8,256,training,106.4,25.850,0.000,25.747,0.327,0.517,0.327,26.240,0.131,27.203,0.327,3.231,0.013,success
small1024,16,256,training,106.4,27.720,0.000,27.513,0.653,1.031,0.653,28.496,0.261,30.421,0.653,1.732,0.007,success
small1024,32,256,training,106.4,31.037,0.000,30.624,1.307,2.062,1.307,32.589,0.521,36.439,1.307,0.970,0.004,success
small1024,64,256,training,106.4,37.244,0.000,36.418,2.614,4.123,2.614,40.347,1.043,48.048,2.614,0.582,0.002,success
small1024,128,256,training,106.4,49.233,0.000,47.580,5.227,8.247,5.227,55.437,2.085,70.839,5.227,0.385,0.002,success
small1024,1,512,training,106.6,26.901,0.000,26.875,0.082,0.129,0.082,27.000,0.033,27.240,0.082,26.901,0.053,success
small1024,4,512,training,106.6,28.417,0.000,28.314,0.327,0.517,0.327,28.808,0.131,29.772,0.327,7.104,0.014,success
small1024,8,512,training,106.6,30.291,0.000,30.085,0.653,1.031,0.653,31.069,0.261,32.994,0.653,3.786,0.007,success
small1024,16,512,training,106.6,33.613,0.000,33.199,1.307,2.062,1.307,35.165,0.521,39.016,1.307,2.101,0.004,success
small1024,32,512,training,106.6,39.824,0.000,38.998,2.614,4.123,2.614,42.928,1.043,50.629,2.614,1.245,0.002,success
small1024,64,512,training,106.6,51.817,0.000,50.164,5.227,8.247,5.227,58.022,2.085,73.425,5.227,0.810,0.002,success
small1024,128,512,training,,,,,,,,,,,,,,out_of_memory
small1024,1,1024,training,107.1,30.292,0.000,30.240,0.163,0.258,0.163,30.490,0.065,30.971,0.163,30.292,0.030,success
small1024,4,1024,training,107.1,32.905,0.000,32.698,0.653,1.031,0.653,33.684,0.261,35.610,0.653,8.226,0.008,success
small1024,8,1024,training,107.1,36.241,0.000,35.827,1.307,2.062,1.307,37.796,0.521,41.646,1.307,4.530,0.004,success
small1024,16,1024,training,107.1,42.467,0.000,41.641,2.614,4.123,2.614,45.573,1.043,53.274,2.614,2.654,0.003,success
small1024,32,1024,training,107.1,54.475,0.000,52.822,5.227,8.247,5.227,60.682,2.085,76.084,5.227,1.702,0.002,success
small1024,64,1024,training,,,,,,,,,,,,,,out_of_memory
small1024,1,128,evaluation,106.2,32.247,0.000,32.247,0.000,0.000,0.000,32.251,0.008,0.000,0.000,32.247,0.252,success
small1024,4,128,evaluation,106.2,32.749,0.000,32.749,0.000,0.000,0.000,32.764,0.033,0.000,0.000,8.187,0.064,success
small1024,8,128,evaluation,106.2,33.277,0.000,33.277,0.000,0.000,0.000,33.307,0.065,0.000,0.000,4.160,0.032,success
small1024,16,128,evaluation,106.2,33.910,0.000,33.910,0.000,0.000,0.000,33.968,0.131,0.000,0.000,2.119,0.017,success
small1024,32,128,evaluation,106.2,34.746,0.000,34.746,0.000,0.000,0.000,34.862,0.261,0.000,0.000,1.086,0.008,success
small1024,64,128,evaluation,106.2,35.995,0.000,35.995,0.000,0.000,0.000,36.228,0.521,0.000,0.000,0.562,0.004,success
small1024,128,128,evaluation,106.2,38.069,0.000,38.069,0.000,0.000,0.000,38.533,1.043,0.000,0.000,0.297,0.002,success
small1024,1,256,evaluation,106.4,35.251,0.000,35.251,0.000,0.000,0.000,35.259,0.017,0.000,0.000,35.251,0.138,success
small1024,4,256,evaluation,106.4,35.831,0.000,35.831,0.000,0.000,0.000,35.861,0.065,0.000,0.000,8.958,0.035,success
small1024,8,256,evaluation,106.4,36.465,0.000,36.465,0.000,0.000,0.000,36.524,0.131,0.000,0.000,4.558,0.018,success
small1024,16,256,evaluation,106.4,37.302,0.000,37.302,0.000,0.000,0.000,37.419,0.261,0.000,0.000,2.331,0.009,success
small1024,32,256,evaluation,106.4,38.553,0.000,38.553,0.000,0.000,0.000,38.786,0.521,0.000,0.000,1.205,0.005,success
small1024,64,256,evaluation,106.4,40.628,0.000,40.628,0.000,0.000,0.000,41.093,1.043,0.000,0.000,0.635,0.002,success
small1024,128,256,evaluation,106.4,44.351,0.000,44.351,0.000,0.000,0.000,45.280,2.085,0.000,0.000,0.346,0.001,success
small1024,1,512,evaluation,106.6,38.291,0.000,38.291,0.000,0.000,0.000,38.308,0.033,0.000,0.000,38.291,0.075,success
small1024,4,512,evaluation,106.6,39.032,0.000,39.032,0.000,0.000,0.000,39.092,0.131,0.000,0.000,9.758,0.019,success
small1024,8,512,evaluation,106.6,39.874,0.000,39.874,0.000,0.000,0.000,39.992,0.261,0.000,0.000,4.984,0.010,success
