model_name,batch_size,sequence_length,mode,total_params_millions,total_mean_gb,total_std_gb,forward_mean_gb,forward_std_gb,backward_mean_gb,backward_std_gb,peak_forward_mean_gb,peak_forward_std_gb,peak_backward_mean_gb,peak_backward_std_gb,memory_per_sample_gb,memory_per_token_gb,status
tiny256,1,128,training,14.6,0.150,0.000,0.147,0.010,0.029,0.010,0.173,0.008,0.203,0.010,0.150,0.001,success
tiny256,4,128,training,14.6,0.379,0.001,0.367,0.039,0.115,0.039,0.473,0.033,0.594,0.039,0.095,0.001,success
tiny256,8,128,training,14.6,0.666,0.001,0.641,0.078,0.231,0.078,0.854,0.065,1.096,0.079,0.083,0.001,success
tiny256,16,128,training,14.6,1.178,0.000,1.129,0.156,0.462,0.156,1.554,0.131,2.037,0.156,0.074,0.001,success
tiny256,32,128,training,14.6,2.139,0.000,2.041,0.311,0.923,0.311,2.890,0.261,3.853,0.311,0.067,0.001,success
tiny256,64,128,training,14.6,4.007,0.000,3.810,0.622,1.845,0.622,5.507,0.521,7.435,0.622,0.063,0.000,success
tiny256,128,128,training,14.6,7.683,0.000,7.289,1.244,3.690,1.244,10.683,1.043,14.538,1.244,0.060,0.000,success
tiny256,1,256,training,14.7,0.625,0.000,0.619,0.020,0.059,0.020,0.673,0.017,0.734,0.020,0.625,0.002,success
tiny256,4,256,training,14.7,1.024,0.001,0.999,0.078,0.231,0.078,1.212,0.065,1.454,0.079,0.256,0.001,success
tiny256,8,256,training,14.7,1.537,0.000,1.487,0.156,0.462,0.156,1.913,0.131,2.396,0.156,0.192,0.001,success
tiny256,16,256,training,14.7,2.499,0.000,2.400,0.311,0.923,0.311,3.249,0.261,4.213,0.311,0.156,0.001,success
tiny256,32,256,training,14.7,4.367,0.000,4.170,0.622,1.845,0.622,5.867,0.521,7.795,0.622,0.136,0.001,success
tiny256,64,256,training,14.7,8.043,0.000,7.649,1.244,3.690,1.244,11.044,1.043,14.899,1.244,0.126,0.000,success
tiny256,128,256,training,14.7,15.335,0.000,14.548,2.489,7.381,2.489,21.337,2.085,29.046,2.489,0.120,0.000,success
tiny256,1,512,training,14.7,1.159,0.001,1.147,0.039,0.115,0.039,1.254,0.033,1.375,0.039,1.159,0.002,success
tiny256,4,512,training,14.7,1.901,0.000,1.851,0.156,0.462,0.156,2.277,0.131,2.760,0.156,0.475,0.001,success
tiny256,8,512,training,14.7,2.865,0.000,2.766,0.311,0.923,0.311,3.615,0.261,4.579,0.311,0.358,0.001,success
tiny256,16,512,training,14.7,4.735,0.000,4.538,0.622,1.845,0.622,6.235,0.521,8.163,0.622,0.296,0.001,success
tiny256,32,512,training,14.7,8.413,0.000,8.019,1.244,3.690,1.244,11.414,1.043,15.268,1.244,0.263,0.001,success
tiny256,64,512,training,14.7,15.707,0.000,14.920,2.489,7.381,2.489,21.708,2.085,29.418,2.489,0.245,0.000,success
tiny256,128,512,training,14.7,30.233,0.000,28.659,4.978,14.761,4.978,42.236,4.170,57.655,4.978,0.236,0.000,success
tiny256,1,1024,training,14.9,1.826,0.001,1.801,0.078,0.231,0.078,2.014,0.065,2.256,0.078,1.826,0.002,success
tiny256,4,1024,training,14.9,3.250,0.000,3.151,0.311,0.923,0.311,4.001,0.261,4.964,0.311,0.812,0.001,success
tiny256,8,1024,training,14.9,5.126,0.000,4.930,0.622,1.845,0.622,6.628,0.521,8.555,0.622,0.641,0.001,success
tiny256,16,1024,training,14.9,8.811,0.000,8.418,1.244,3.690,1.244,11.813,1.043,15.668,1.244,0.551,0.001,success
tiny256,32,1024,training,14.9,16.112,0.000,15.325,2.489,7.381,2.489,22.114,2.085,29.824,2.489,0.504,0.000,success
tiny256,64,1024,training,14.9,30.646,0.000,29.071,4.978,14.761,4.978,42.649,4.170,58.068,4.978,0.479,0.000,success
tiny256,128,1024,training,,,,,,,,,,,,,,out_of_memory
tiny256,1,128,evaluation,14.6,1.870,0.000,1.870,0.000,0.000,0.000,1.873,0.008,0.000,0.000,1.870,0.015,success
tiny256,4,128,evaluation,14.6,2.007,0.000,2.007,0.000,0.000,0.000,2.019,0.033,0.000,0.000,0.502,0.004,success
tiny256,8,128,evaluation,14.6,2.170,0.000,2.170,0.000,0.000,0.000,2.193,0.065,0.000,0.000,0.271,0.002,success
tiny256,16,128,evaluation,14.6,2.436,0.000,2.436,0.000,0.000,0.000,2.482,0.131,0.000,0.000,0.152,0.001,success
tiny256,32,128,evaluation,14.6,2.907,0.000,2.907,0.000,0.000,0.000,2.998,0.261,0.000,0.000,0.091,0.001,success
tiny256,64,128,evaluation,14.6,3.791,0.000,3.791,0.000,0.000,0.000,3.973,0.521,0.000,0.000,0.059,0.000,success
tiny256,128,128,evaluation,14.6,5.499,0.000,5.499,0.000,0.000,0.000,5.862,1.043,0.000,0.000,0.043,0.000,success
tiny256,1,256,evaluation,14.7,2.314,0.000,2.314,0.000,0.000,0.000,2.320,0.017,0.000,0.000,2.314,0.009,success
tiny256,4,256,evaluation,14.7,2.528,0.000,2.528,0.000,0.000,0.000,2.551,0.065,0.000,0.000,0.632,0.002,success
tiny256,8,256,evaluation,14.7,2.795,0.000,2.795,0.000,0.000,0.000,2.841,0.131,0.000,0.000,0.349,0.001,success
tiny256,16,256,evaluation,14.7,3.266,0.000,3.266,0.000,0.000,0.000,3.357,0.261,0.000,0.000,0.204,0.001,success
tiny256,32,256,evaluation,14.7,4.151,0.000,4.151,0.000,0.000,0.000,4.333,0.521,0.000,0.000,0.130,0.001,success
tiny256,64,256,evaluation,14.7,5.859,0.000,5.859,0.000,0.000,0.000,6.223,1.043,0.000,0.000,0.092,0.000,success
tiny256,128,256,evaluation,14.7,9.216,0.000,9.216,0.000,0.000,0.000,9.943,2.085,0.000,0.000,0.072,0.000,success
tiny256,1,512,evaluation,14.7,2.787,0.000,2.787,0.000,0.000,0.000,2.799,0.033,0.000,0.000,2.787,0.005,success
tiny256,4,512,evaluation,14.7,3.159,0.000,3.159,0.000,0.000,0.000,3.205,0.131,0.000,0.000,0.790,0.002,success
tiny256,8,512,evaluation,14.7,3.632,0.000,3.632,0.000,0.000,0.000,3.724,0.261,0.000,0.000,0.454,0.001,success
tiny256,16,512,evaluation,14.7,4.518,0.000,4.518,0.000,0.000,0.000,4.700,0.521,0.000,0.000,0.282,0.001,success
tiny256,32,512,evaluation,14.7,6.229,0.000,6.229,0.000,0.000,0.000,6.593,1.043,0.000,0.000,0.195,0.000,success
tiny256,64,512,evaluation,14.7,9.588,0.000,9.588,0.000,0.000,0.000,10.315,2.085,0.000,0.000,0.150,0.000,success
tiny256,128,512,evaluation,14.7,16.243,0.000,16.243,0.000,0.000,0.000,17.697,4.170,0.000,0.000,0.127,0.000,success
tiny256,1,1024,evaluation,14.9,3.330,0.000,3.330,0.000,0.000,0.000,3.354,0.065,0.000,0.000,3.330,0.003,success
tiny256,4,1024,evaluation,14.9,4.017,0.000,4.017,0.000,0.000,0.000,4.109,0.261,0.000,0.000,1.004,0.001,success
tiny256,8,1024,evaluation,14.9,4.910,0.000,4.910,0.000,0.000,0.000,5.093,0.521,0.000,0.000,0.614,0.001,success
tiny256,16,1024,evaluation,14.9,6.627,0.000,6.627,0.000,0.000,0.000,6.992,1.043,0.000,0.000,0.414,0.000,success
tiny256,32,1024,evaluation,14.9,9.993,0.000,9.993,0.000,0.000,0.000,10.721,2.085,0.000,0.000,0.312,0.000,success
tiny256,64,1024,evaluation,14.9,16.656,0.000,16.656,0.000,0.000,0.000,18.110,4.170,0.000,0.000,0.260,0.000,success
tiny256,128,1024,evaluation,14.9,29.912,0.000,29.912,0.000,0.000,0.000,32.819,8.340,0.000,0.000,0.234,0.000,success
tiny512,1,128,training,32.7,3.730,0.000,3.726,0.011,0.029,0.011,3.754,0.008,3.788,0.011,3.730,0.029,success
tiny512,4,128,training,32.7,4.046,0.000,4.032,0.045,0.117,0.045,4.141,0.033,4.279,0.045,1.012,0.008,success
tiny512,8,128,training,32.7,4.423,0.000,4.394,0.090,0.235,0.090,4.613,0.065,4.888,0.090,0.553,0.004,success
tiny512,16,128,training,32.7,5.047,0.000,4.990,0.181,0.470,0.181,5.428,0.131,5.980,0.181,0.315,0.002,success
tiny512,32,128,training,32.7,6.160,0.000,6.046,0.362,0.939,0.362,6.919,0.261,8.022,0.362,0.192,0.002,success
tiny512,64,128,training,32.7,8.258,0.000,8.029,0.723,1.877,0.723,9.775,0.521,11.981,0.723,0.129,0.001,success
tiny512,128,128,training,32.7,12.324,0.000,11.866,1.446,3.754,1.446,15.358,1.043,19.770,1.446,0.096,0.001,success
tiny512,1,256,training,32.7,4.711,0.000,4.703,0.023,0.060,0.023,4.759,0.017,4.830,0.023,4.711,0.018,success
tiny512,4,256,training,32.7,5.210,0.001,5.182,0.091,0.235,0.091,5.400,0.065,5.677,0.090,1.303,0.005,success
tiny512,8,256,training,32.7,5.835,0.001,5.778,0.181,0.471,0.181,6.216,0.131,6.769,0.181,0.729,0.003,success
tiny512,16,256,training,32.7,6.949,0.000,6.835,0.362,0.939,0.362,7.708,0.261,8.811,0.362,0.434,0.002,success
