epoch,epoch_train_loss,epoch_val_loss,num_decay_params,num_nodecay_params,step,total_params,train_loss_epoch,train_loss_step,trainable_params,val_loss
0,,,,,4,,,10.21595573425293,,
0,,,,,9,,,8.167396545410156,,
0,,,,,14,,,6.847870826721191,,
0,,,,,19,,,6.646799564361572,,
0,,,,,24,,,6.549046993255615,,
0,,6.620588302612305,,,24,,,,,6.626420497894287
0,,,,,29,,,6.586611270904541,,
0,,,,,34,,,6.564213275909424,,
0,,,,,39,,,6.5967206954956055,,
0,,,,,44,,,6.560122966766357,,
0,,,,,49,,,6.500707626342773,,
0,,6.559874534606934,,,49,,,,,6.56516695022583
0,,,,,54,,,6.558829307556152,,
0,,,,,59,,,6.513271331787109,,
0,,,,,64,,,6.477761745452881,,
0,,,,,69,,,6.456517219543457,,
0,,,,,74,,,6.2312822341918945,,
0,,6.402413845062256,,,74,,,,,6.405387878417969
0,7.0282182693481445,,7299584.0,7172.0,74,7306756.0,7.036606788635254,,7306756.0,
1,,,,,79,,,6.315541744232178,,
1,,,,,84,,,6.3164143562316895,,
1,,,,,89,,,6.306453227996826,,
1,,,,,94,,,6.197622776031494,,
1,,,,,99,,,6.167116641998291,,
1,,6.202888488769531,,,99,,,,,6.209768772125244
1,,,,,104,,,6.108550071716309,,
1,,,,,109,,,6.0046186447143555,,
1,,,,,114,,,5.9685821533203125,,
1,,,,,119,,,5.943373203277588,,
1,,,,,124,,,5.765324592590332,,
1,,5.828098297119141,,,124,,,,,5.83735990524292
1,,,,,129,,,5.8465070724487305,,
1,,,,,134,,,5.740087032318115,,
1,,,,,139,,,5.716667652130127,,
1,,,,,144,,,5.62013053894043,,
1,,,,,149,,,5.545752048492432,,
1,,5.565290927886963,,,149,,,,,5.577219009399414
1,5.989928245544434,,,,149,,5.994603633880615,,,
2,,,,,154,,,5.37175989151001,,
2,,,,,159,,,5.42767333984375,,
2,,,,,164,,,5.399400234222412,,
2,,,,,169,,,5.212630271911621,,
2,,,,,174,,,5.45475435256958,,
2,,5.395040988922119,,,174,,,,,5.408391952514648
2,,,,,179,,,5.14714241027832,,
2,,,,,184,,,5.321356773376465,,
2,,,,,189,,,5.349054336547852,,
2,,,,,194,,,5.283418655395508,,
2,,,,,199,,,5.133111000061035,,
2,,5.278599739074707,,,199,,,,,5.289336204528809
2,,,,,204,,,5.187729835510254,,
2,,,,,209,,,5.17717170715332,,
2,,,,,214,,,5.0544939041137695,,
2,,,,,219,,,5.192920207977295,,
2,,,,,224,,,5.400829792022705,,
2,,5.183329105377197,,,224,,,,,5.196104526519775
2,5.308324813842773,,,,224,,5.307351589202881,,,
3,,,,,229,,,5.045208930969238,,
3,,,,,234,,,5.155391216278076,,
3,,,,,239,,,5.044083595275879,,
3,,,,,244,,,5.002795696258545,,
3,,,,,249,,,4.9262847900390625,,
3,,5.099899768829346,,,249,,,,,5.111907005310059
3,,,,,254,,,5.057699203491211,,
3,,,,,259,,,4.928983211517334,,
3,,,,,264,,,4.946586608886719,,
3,,,,,269,,,4.958755016326904,,
3,,,,,274,,,4.994577884674072,,
3,,5.016545295715332,,,274,,,,,5.029222011566162
3,,,,,279,,,4.99366569519043,,
3,,,,,284,,,4.7956671714782715,,
3,,,,,289,,,4.980214595794678,,
3,,,,,294,,,4.837575435638428,,
3,,,,,299,,,5.252114772796631,,
3,,4.967320442199707,,,299,,,,,4.978579998016357
3,4.981299877166748,,,,299,,4.978448867797852,,,
4,,,,,304,,,4.827022075653076,,
4,,,,,309,,,4.810232162475586,,
4,,,,,314,,,4.818887710571289,,
4,,,,,319,,,4.699975490570068,,
4,,,,,324,,,4.794593334197998,,
4,,4.905065059661865,,,324,,,,,4.918637752532959
4,,,,,329,,,4.687234878540039,,
4,,,,,334,,,4.8882365226745605,,
4,,,,,339,,,4.7820000648498535,,
4,,,,,344,,,4.651340961456299,,
4,,,,,349,,,4.842159748077393,,
4,,4.855560779571533,,,349,,,,,4.865170478820801
4,,,,,354,,,4.834447860717773,,
4,,,,,359,,,4.627793788909912,,
4,,,,,364,,,4.695030212402344,,
4,,,,,369,,,4.712123394012451,,
4,,,,,374,,,4.61306095123291,,
4,,4.8191351890563965,,,374,,,,,4.829287052154541
4,4.757143497467041,,,,374,,4.758659839630127,,,
5,,,,,379,,,4.526415824890137,,
5,,,,,384,,,4.516963958740234,,
5,,,,,389,,,4.550446510314941,,
5,,,,,394,,,4.6712141036987305,,
5,,,,,399,,,4.526841640472412,,
5,,4.801963806152344,,,399,,,,,4.812932968139648
5,,,,,404,,,4.627715110778809,,
5,,,,,409,,,4.570023059844971,,
5,,,,,414,,,4.57177734375,,
5,,,,,419,,,4.614604473114014,,
5,,,,,424,,,4.615071773529053,,
5,,4.7579755783081055,,,424,,,,,4.769690036773682
5,,,,,429,,,4.707061767578125,,
5,,,,,434,,,4.666202545166016,,
5,,,,,439,,,4.543512344360352,,
5,,,,,444,,,4.499731063842773,,
5,,,,,449,,,4.4041666984558105,,
5,,4.740293979644775,,,449,,,,,4.75038480758667
5,4.591233730316162,,,,449,,4.593202590942383,,,
6,,,,,454,,,4.41557502746582,,
6,,,,,459,,,4.4940314292907715,,
6,,,,,464,,,4.514224529266357,,
6,,,,,469,,,4.484066963195801,,
6,,,,,474,,,4.499638080596924,,
6,,4.728027820587158,,,474,,,,,4.739781379699707
6,,,,,479,,,4.51589822769165,,
6,,,,,484,,,4.481039047241211,,
6,,,,,489,,,4.494757175445557,,
6,,,,,494,,,4.35757303237915,,
6,,,,,499,,,4.505494594573975,,
6,,4.690176486968994,,,499,,,,,4.70108699798584
6,,,,,504,,,4.403501510620117,,
6,,,,,509,,,4.531583786010742,,
6,,,,,514,,,4.528564929962158,,
6,,,,,519,,,4.506662845611572,,
6,,,,,524,,,4.584826946258545,,
6,,4.673637866973877,,,524,,,,,4.683928489685059
6,4.461536407470703,,,,524,,4.460238933563232,,,
7,,,,,529,,,4.305218696594238,,
7,,,,,534,,,4.316577434539795,,
7,,,,,539,,,4.2542829513549805,,
7,,,,,544,,,4.270473957061768,,
7,,,,,549,,,4.313793182373047,,
7,,4.676310062408447,,,549,,,,,4.6864213943481445
7,,,,,554,,,4.404908180236816,,
7,,,,,559,,,4.38616943359375,,
7,,,,,564,,,4.196706771850586,,
7,,,,,569,,,4.519096374511719,,
7,,,,,574,,,4.4004364013671875,,
7,,4.639889240264893,,,574,,,,,4.6509881019592285
7,,,,,579,,,4.47663688659668,,
7,,,,,584,,,4.4198431968688965,,
7,,,,,589,,,4.360599040985107,,
7,,,,,594,,,4.351004123687744,,
7,,,,,599,,,4.303866386413574,,
7,,4.619689464569092,,,599,,,,,4.630502223968506
