epoch,epoch_train_loss,epoch_val_loss,num_decay_params,num_nodecay_params,step,total_params,train_loss_epoch,train_loss_step,trainable_params,val_loss
4,,,,,314,,,5.051671981811523,,
4,,,,,319,,,5.209530830383301,,
4,,,,,324,,,5.085695266723633,,
4,,5.237660884857178,,,324,,,,,5.237945079803467
4,,,,,329,,,5.166173934936523,,
4,,,,,334,,,5.1915740966796875,,
4,,,,,339,,,4.98112154006958,,
4,,,,,344,,,5.176590442657471,,
4,,,,,349,,,5.066819667816162,,
4,,5.175490379333496,,,349,,,,,5.175024032592773
4,,,,,354,,,5.057574272155762,,
4,,,,,359,,,5.091902732849121,,
4,,,,,364,,,5.058352470397949,,
4,,,,,369,,,5.112064838409424,,
4,,,,,374,,,5.225414276123047,,
4,,5.126773834228516,,,374,,,,,5.1263427734375
4,5.134420871734619,,,,374,,5.1334638595581055,,,
5,,,,,379,,,4.798346519470215,,
5,,,,,384,,,4.944865703582764,,
5,,,,,389,,,4.914377212524414,,
5,,,,,394,,,4.899031639099121,,
5,,,,,399,,,4.979178428649902,,
5,,5.07971715927124,,,399,,,,,5.077197074890137
5,,,,,404,,,5.099201679229736,,
5,,,,,409,,,4.958017349243164,,
5,,,,,414,,,4.995283603668213,,
5,,,,,419,,,5.106863975524902,,
5,,,,,424,,,5.012258052825928,,
5,,5.047584056854248,,,424,,,,,5.045494556427002
5,,,,,429,,,4.907100677490234,,
5,,,,,434,,,5.004199028015137,,
5,,,,,439,,,4.867588043212891,,
5,,,,,444,,,4.948634147644043,,
5,,,,,449,,,4.8890299797058105,,
5,,5.0088791847229,,,449,,,,,5.008909225463867
5,4.9665751457214355,,,,449,,4.967391490936279,,,
6,,,,,454,,,4.842255115509033,,
6,,,,,459,,,4.887200355529785,,
6,,,,,464,,,4.916008472442627,,
6,,,,,469,,,4.852396011352539,,
6,,,,,474,,,4.8237433433532715,,
6,,4.973418712615967,,,474,,,,,4.974308490753174
6,,,,,479,,,4.911621570587158,,
6,,,,,484,,,4.941892623901367,,
6,,,,,489,,,4.922608852386475,,
6,,,,,494,,,4.800948619842529,,
6,,,,,499,,,4.774920463562012,,
6,,4.937582969665527,,,499,,,,,4.937335968017578
6,,,,,504,,,4.786545276641846,,
6,,,,,509,,,4.889305591583252,,
6,,,,,514,,,4.843343734741211,,
6,,,,,519,,,4.713425636291504,,
6,,,,,524,,,4.996283531188965,,
6,,4.907234191894531,,,524,,,,,4.90569543838501
6,4.83585262298584,,,,524,,4.834165096282959,,,
7,,,,,529,,,4.641567707061768,,
7,,,,,534,,,4.596466541290283,,
7,,,,,539,,,4.7441935539245605,,
7,,,,,544,,,4.694578647613525,,
7,,,,,549,,,4.815906524658203,,
7,,4.88232421875,,,549,,,,,4.884201526641846
7,,,,,554,,,4.766768455505371,,
7,,,,,559,,,4.780611991882324,,
7,,,,,564,,,4.592341423034668,,
7,,,,,569,,,4.710328578948975,,
7,,,,,574,,,4.8062005043029785,,
7,,4.856217384338379,,,574,,,,,4.856756210327148
7,,,,,579,,,4.607296943664551,,
7,,,,,584,,,4.732493877410889,,
7,,,,,589,,,4.713191509246826,,
7,,,,,594,,,4.683756351470947,,
7,,,,,599,,,4.856407642364502,,
7,,4.820947647094727,,,599,,,,,4.818711280822754
7,4.722975254058838,,,,599,,4.7215704917907715,,,
8,,,,,604,,,4.532686710357666,,
8,,,,,609,,,4.5933051109313965,,
8,,,,,614,,,4.570895195007324,,
8,,,,,619,,,4.565240859985352,,
8,,,,,624,,,4.685754299163818,,
8,,4.810309886932373,,,624,,,,,4.8088202476501465
8,,,,,629,,,4.614995002746582,,
8,,,,,634,,,4.636709690093994,,
8,,,,,639,,,4.717532634735107,,
8,,,,,644,,,4.6557464599609375,,
8,,,,,649,,,4.651981353759766,,
8,,4.782217025756836,,,649,,,,,4.781515121459961
8,,,,,654,,,4.763986587524414,,
8,,,,,659,,,4.727313995361328,,
8,,,,,664,,,4.62332820892334,,
8,,,,,669,,,4.515518665313721,,
8,,,,,674,,,4.453361988067627,,
8,,4.76866340637207,,,674,,,,,4.768357753753662
8,4.621078014373779,,,,674,,4.622844696044922,,,
9,,,,,679,,,4.497056484222412,,
9,,,,,684,,,4.522859573364258,,
9,,,,,689,,,4.626925945281982,,
9,,,,,694,,,4.448909282684326,,
9,,,,,699,,,4.589278221130371,,
9,,4.749011039733887,,,699,,,,,4.746273517608643
9,,,,,704,,,4.5109357833862305,,
9,,,,,709,,,4.470645427703857,,
9,,,,,714,,,4.528679370880127,,
9,,,,,719,,,4.503937244415283,,
9,,,,,724,,,4.576679229736328,,
9,,4.729682445526123,,,724,,,,,4.727723598480225
9,,,,,729,,,4.518814563751221,,
9,,,,,734,,,4.6067423820495605,,
9,,,,,739,,,4.582806587219238,,
9,,,,,744,,,4.554457664489746,,
9,,,,,749,,,4.878607273101807,,
9,,4.716722011566162,,,749,,,,,4.717074871063232
9,4.538537979125977,,,,749,,4.5349578857421875,,,
10,,,,,754,,,4.5268049240112305,,
10,,,,,759,,,4.4873528480529785,,
10,,,,,764,,,4.349340438842773,,
10,,,,,769,,,4.4880595207214355,,
10,,,,,774,,,4.419986248016357,,
10,,4.702703952789307,,,774,,,,,4.701852798461914
10,,,,,779,,,4.465256214141846,,
10,,,,,784,,,4.398056983947754,,
10,,,,,789,,,4.477080345153809,,
10,,,,,794,,,4.516876220703125,,
10,,,,,799,,,4.379152774810791,,
10,,4.684477806091309,,,799,,,,,4.681845664978027
10,,,,,804,,,4.394660949707031,,
10,,,,,809,,,4.528777599334717,,
10,,,,,814,,,4.528007507324219,,
10,,,,,819,,,4.439077377319336,,
10,,,,,824,,,4.695908546447754,,
10,,4.664386749267578,,,824,,,,,4.664637088775635
10,4.459619998931885,,,,824,,4.4571332931518555,,,
11,,,,,829,,,4.330789566040039,,
11,,,,,834,,,4.402918815612793,,
11,,,,,839,,,4.350961208343506,,
11,,,,,844,,,4.339543342590332,,
11,,,,,849,,,4.423229694366455,,
11,,4.678307056427002,,,849,,,,,4.67458963394165
11,,,,,854,,,4.458800792694092,,
11,,,,,859,,,4.524886608123779,,
11,,,,,864,,,4.302534103393555,,
11,,,,,869,,,4.318649768829346,,
11,,,,,874,,,4.465850830078125,,
11,,4.644777297973633,,,874,,,,,4.643109321594238
